Company,Do not Poach Start Date,Do not Poach End Date
Gradient Labs,12/15/2025,12/14/2026
Dash0,9/15/2025,9/14/2026
Incode,8/25/2025,8/24/2026
Listen Labs,10/15/2025,10/14/2026
FÊTE,11/24/2025,11/23/2026
Lumens,3/18/2026,3/17/2027
Netic,12/6/2025,12/5/2026
ComfyUI,1/21/2026,1/20/2027
N47,9/23/2025,9/22/2026
Simile,10/31/2025,10/30/2026
Outtake,11/25/2025,11/24/2026
Petra Security,1/30/2026,1/29/2027
Thread AI,3/24/2026,3/23/2027
GC AI,12/12/2025,12/11/2026
Airtop.ai,,
MGT Insurance,,
Plot,1/16/2026,1/15/2027
HiO AI Inc.,1/21/2026,1/20/2027
AMSYS Group,3/24/2026,3/23/2027
Cognida AI,2/13/2026,2/12/2027
MrBeast,1/30/2026,1/29/2027
Nebari.ai,2/25/2026,2/24/2027
Revela,3/12/2026,3/11/2027
Notable Capital,,
8VC,,
Brooklyn Bridge Ventures,,
Possible Finance,,
Odyssey,3/10/2026,3/9/2027
Peak XV Partners,,
PicsArt,,
Apollo.io,7/14/2025,7/13/2026
Appen,4/29/2025,4/28/2026
Initialized Capital,,
Insight Partners,,
Threshold Ventures,,
Ownwell,5/2/2025,5/1/2026
Cota Capital,,
Accel,,
Venrock,,
Hugo Insurance,1/8/2026,1/7/2027
Metropolis Technologies,4/10/2025,4/9/2026
Simpplr,11/13/2025,11/12/2026
Alloy,8/25/2025,8/24/2026
OptimoRoute,4/16/2025,4/15/2026
Audacious Ventures,,
Aurigo,6/9/2025,6/8/2026
Battery Ventures,,
Decagon,11/25/2025,11/24/2026
Bessemer Venture Partners,,
Brewbird,10/23/2025,10/22/2026
Canvas Ventures,,
Chainguard,5/13/2025,5/12/2026
DITTO,4/24/2025,4/23/2026
Checkmate,11/29/2025,11/28/2026
Chicory,1/23/2026,1/22/2027
Scale Venture Partners,,
Coast,12/3/2025,12/2/2026
Common Room,2/5/2026,2/4/2027
CopilotIQ,3/2/2026,3/1/2027
Costanoa Venture Capital,,
Cursor by Anysphere,10/20/2025,10/19/2026
Dawn Capital,,
Different,10/24/2025,10/23/2026
Matrix VC,,
DST Global,,
Dynamo AI,6/30/2025,6/29/2026
Ease.io,11/24/2025,11/23/2026
Emergence Capital,,
Endeavor,12/5/2025,12/4/2026
ENIAC Ventures,,
Enterpret,2/26/2026,2/25/2027
Federato,9/11/2025,9/10/2026
Northspyre,4/7/2025,4/6/2026
Fort Robotics,3/10/2026,3/9/2027
Foundation Capital,,
Freshpaint,7/7/2025,7/6/2026
Gainbridge,10/10/2025,10/9/2026
